City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
141,Pedasi,PA,2022-04-02 20:39:04,7.5333,-80.0333,83.14,69,86,10.13,overcast clouds
142,Gualaquiza,EC,2022-04-02 20:39:04,-3.4,-78.55,68.16,95,98,2.51,light rain
143,Cayenne,GF,2022-04-02 20:35:13,4.9333,-52.3333,80.1,1,75,1.01,light rain
144,Saint-Philippe,RE,2022-04-02 20:39:05,-21.3585,55.7679,76.59,98,100,21.12,very heavy rain
145,Isabela,PH,2022-04-02 20:39:05,6.7085,121.9711,73.65,93,100,4.59,overcast clouds
146,Ruwi,OM,2022-04-02 20:39:06,23.5996,58.5507,82.09,35,44,4.23,scattered clouds
147,Albany,US,2022-04-02 20:34:59,42.6001,-73.9662,51.46,36,40,3.0,scattered clouds
148,Saskylakh,RU,2022-04-02 20:39:06,71.9167,114.0833,0.61,97,98,8.86,overcast clouds
149,Tamiahua,MX,2022-04-02 20:39:06,21.2667,-97.45,81.48,67,20,11.52,few clouds
150,Muzhi,RU,2022-04-02 20:39:07,65.3667,64.6667,3.67,89,26,6.62,scattered clouds
151,Sur,OM,2022-04-02 20:39:07,22.5667,59.5289,82.56,38,59,9.44,broken clouds
152,Palu,ID,2022-04-02 20:39:08,-0.8917,119.8707,74.5,91,100,2.37,overcast clouds
153,Chuy,UY,2022-04-02 20:39:08,-33.6971,-53.4616,65.53,63,3,11.18,clear sky
154,La Libertad,EC,2022-04-02 20:39:08,-2.2333,-80.9,80.26,74,0,9.22,clear sky
155,Hvolsvollur,IS,2022-04-02 20:39:09,63.7533,-20.2243,43.43,90,100,8.25,heavy intensity rain
156,Muli,MV,2022-04-02 20:39:09,2.9167,73.5667,82.4,69,21,3.06,few clouds
157,Rawson,AR,2022-04-02 20:39:10,-43.3002,-65.1023,79.5,24,19,15.61,few clouds
158,Kaitangata,NZ,2022-04-02 20:39:10,-46.2817,169.8464,54.41,78,27,8.05,scattered clouds
159,Vestmannaeyjar,IS,2022-04-02 20:39:10,63.4427,-20.2734,45.27,97,100,16.89,heavy intensity rain
160,Arawa,PG,2022-04-02 20:39:11,-6.2132,155.5367,78.01,86,100,1.79,overcast clouds
161,Luba,GQ,2022-04-02 20:39:11,3.4568,8.5547,80.94,81,25,7.81,scattered clouds
